# x_m,y_m,w_tr_right_m,w_tr_left_m
9.6900,-13.2500,0.7071,0.7071
9.6900,-13.3000,0.7018,0.7018
9.6900,-13.3500,0.7000,0.7000
9.6900,-13.4000,0.7000,0.7000
9.6400,-13.4500,0.7000,0.7000
9.6400,-13.5000,0.7000,0.7000
9.6400,-13.5500,0.7000,0.7000
9.6400,-13.6000,0.7000,0.7000
9.6400,-13.6500,0.7000,0.7000
9.6400,-13.7000,0.7018,0.7018
9.6400,-13.7500,0.7071,0.7071
9.6400,-13.8000,0.7159,0.7159
9.6400,-13.8500,0.7159,0.7159
9.6400,-13.9000,0.7071,0.7071
9.6400,-13.9500,0.7018,0.7018
9.6400,-14.0000,0.7000,0.7000
9.6400,-14.0500,0.7000,0.7000
9.5900,-14.1000,0.7000,0.7000
9.5900,-14.1500,0.7018,0.7018
9.5900,-14.2000,0.7071,0.7071
9.5900,-14.2500,0.7159,0.7159
9.5900,-14.3000,0.7280,0.7280
9.5900,-14.3500,0.7159,0.7159
9.5900,-14.4000,0.7071,0.7071
9.5900,-14.4500,0.7018,0.7018
9.5900,-14.5000,0.7000,0.7000
9.5400,-14.5500,0.7071,0.7071
9.5400,-14.6000,0.7159,0.7159
9.5400,-14.6500,0.7280,0.7280
9.5400,-14.7000,0.7433,0.7433
9.5400,-14.7500,0.7500,0.7500
9.5400,-14.8000,0.7500,0.7500
9.5400,-14.8500,0.7517,0.7517
9.5400,-14.9000,0.7566,0.7566
9.5400,-14.9500,0.7649,0.7649
9.5400,-15.0000,0.7762,0.7762
9.5400,-15.0500,0.7906,0.7906
9.4900,-15.0500,0.8016,0.8016
9.4400,-15.1000,0.7500,0.7500
9.3900,-15.1000,0.7382,0.7382
9.3400,-15.1000,0.7159,0.7159
9.2900,-15.1000,0.6964,0.6964
9.2400,-15.1500,0.6325,0.6325
9.1900,-15.1500,0.6185,0.6185
9.1400,-15.1500,0.6083,0.6083
9.0900,-15.1500,0.6021,0.6021
9.0400,-15.2000,0.5500,0.5500
8.9900,-15.2000,0.5523,0.5523
8.9400,-15.2000,0.5590,0.5590
8.8900,-15.2000,0.5701,0.5701
8.8400,-15.2000,0.5852,0.5852
8.7900,-15.2000,0.6000,0.6000
8.7400,-15.2000,0.6000,0.6000
8.6900,-15.2000,0.6000,0.6000
8.6400,-15.2000,0.6000,0.6000
8.5900,-15.2000,0.6000,0.6000
8.5400,-15.2000,0.6021,0.6021
8.4900,-15.2000,0.6000,0.6000
8.4400,-15.2000,0.6021,0.6021
8.3900,-15.2000,0.6000,0.6000
8.3400,-15.2000,0.6021,0.6021
8.2900,-15.2000,0.6083,0.6083
8.2400,-15.1500,0.6000,0.6000
8.1900,-15.1500,0.6021,0.6021
8.1400,-15.1500,0.6083,0.6083
8.0900,-15.1500,0.6042,0.6042
8.0400,-15.1500,0.5852,0.5852
7.9900,-15.1000,0.6000,0.6000
7.9400,-15.1000,0.6000,0.6000
7.8900,-15.1000,0.5852,0.5852
7.8400,-15.1000,0.5701,0.5701
7.7900,-15.1000,0.5590,0.5590
7.7400,-15.1000,0.5523,0.5523
7.6900,-15.1000,0.5500,0.5500
7.6400,-15.1000,0.5500,0.5500
7.5900,-15.0500,0.6000,0.6000
7.5400,-15.0500,0.6000,0.6000
7.4900,-15.0500,0.6000,0.6000
7.4400,-15.0500,0.6000,0.6000
7.3900,-15.0500,0.6000,0.6000
7.3400,-15.0500,0.6000,0.6000
7.2900,-15.0500,0.6021,0.6021
7.2400,-15.0500,0.6083,0.6083
7.1900,-15.0500,0.6185,0.6185
7.1400,-15.0500,0.6325,0.6325
7.0900,-15.0500,0.6500,0.6500
7.0400,-15.0500,0.6671,0.6671
6.9900,-15.0500,0.6727,0.6727
6.9400,-15.0000,0.6500,0.6500
6.8900,-15.0000,0.6403,0.6403
6.8400,-14.9500,0.6000,0.6000
6.7900,-14.9500,0.6000,0.6000
6.7400,-14.9500,0.6021,0.6021
6.6900,-14.9500,0.5852,0.5852
6.6400,-14.9500,0.5701,0.5701
6.5900,-14.9500,0.5590,0.5590
6.5400,-14.9500,0.5523,0.5523
6.4900,-14.9000,0.6000,0.6000
6.4400,-14.9000,0.6000,0.6000
6.3900,-14.9000,0.6000,0.6000
6.3400,-14.9000,0.6000,0.6000
6.2900,-14.9000,0.6000,0.6000
6.2400,-14.9000,0.6000,0.6000
6.1900,-14.9000,0.6000,0.6000
6.1400,-14.9000,0.5852,0.5852
6.0900,-14.9000,0.5701,0.5701
6.0400,-14.8500,0.6000,0.6000
5.9900,-14.8500,0.6000,0.6000
5.9400,-14.8500,0.6000,0.6000
5.8900,-14.8500,0.6000,0.6000
5.8400,-14.8500,0.6000,0.6000
5.7900,-14.8500,0.6000,0.6000
5.7400,-14.8500,0.6000,0.6000
5.6900,-14.8500,0.6021,0.6021
5.6400,-14.8500,0.6083,0.6083
5.5900,-14.8500,0.6185,0.6185
5.5400,-14.8000,0.6000,0.6000
5.4900,-14.8000,0.6000,0.6000
5.4400,-14.8000,0.6000,0.6000
5.3900,-14.8000,0.6000,0.6000
5.3400,-14.8000,0.6000,0.6000
5.2900,-14.8000,0.6000,0.6000
5.2400,-14.8000,0.6000,0.6000
5.1900,-14.8000,0.6021,0.6021
5.1400,-14.8000,0.6000,0.6000
5.0900,-14.8000,0.5852,0.5852
5.0400,-14.8000,0.5701,0.5701
4.9900,-14.7500,0.6000,0.6000
4.9400,-14.7500,0.6000,0.6000
4.8900,-14.7500,0.6000,0.6000
4.8400,-14.7500,0.6000,0.6000
4.7900,-14.7500,0.6000,0.6000
4.7400,-14.7500,0.6000,0.6000
4.6900,-14.7500,0.6000,0.6000
4.6400,-14.7500,0.6000,0.6000
4.5900,-14.7500,0.5852,0.5852
4.5400,-14.7500,0.5701,0.5701
4.4900,-14.7000,0.6000,0.6000
4.4400,-14.7000,0.6000,0.6000
4.3900,-14.7000,0.6000,0.6000
4.3400,-14.7000,0.6000,0.6000
4.2900,-14.7000,0.6000,0.6000
4.2400,-14.7000,0.6000,0.6000
4.1900,-14.7000,0.6000,0.6000
4.1400,-14.7000,0.6000,0.6000
4.0900,-14.7000,0.6000,0.6000
4.0400,-14.7000,0.5852,0.5852
3.9900,-14.7000,0.5701,0.5701
3.9400,-14.6500,0.6000,0.6000
3.8900,-14.6500,0.6000,0.6000
3.8400,-14.6500,0.6000,0.6000
3.7900,-14.6500,0.6000,0.6000
3.7400,-14.6500,0.6000,0.6000
3.6900,-14.6500,0.6000,0.6000
3.6400,-14.6500,0.6000,0.6000
3.5900,-14.6500,0.5852,0.5852
3.5400,-14.6500,0.5701,0.5701
3.4900,-14.6500,0.5590,0.5590
3.4400,-14.6000,0.6000,0.6000
3.3900,-14.6000,0.6000,0.6000
3.3400,-14.6000,0.6000,0.6000
3.2900,-14.6000,0.6000,0.6000
3.2400,-14.6000,0.6000,0.6000
3.1900,-14.6000,0.6000,0.6000
3.1400,-14.6000,0.6000,0.6000
3.0900,-14.6000,0.6000,0.6000
3.0400,-14.6000,0.6000,0.6000
2.9900,-14.6000,0.6000,0.6000
2.9400,-14.6000,0.6000,0.6000
2.8900,-14.6000,0.6000,0.6000
2.8400,-14.6000,0.6000,0.6000
2.7900,-14.6000,0.6021,0.6021
2.7400,-14.6000,0.6000,0.6000
2.6900,-14.6000,0.6000,0.6000
2.6400,-14.6000,0.6000,0.6000
2.5900,-14.5500,0.6021,0.6021
2.5400,-14.5500,0.6083,0.6083
2.4900,-14.5500,0.6185,0.6185
2.4400,-14.5500,0.6185,0.6185
2.3900,-14.5500,0.6083,0.6083
2.3400,-14.5500,0.6021,0.6021
2.2900,-14.5500,0.6000,0.6000
2.2400,-14.5000,0.6000,0.6000
2.1900,-14.5000,0.6000,0.6000
2.1400,-14.5000,0.6000,0.6000
2.0900,-14.5000,0.6000,0.6000
2.0400,-14.5000,0.6021,0.6021
1.9900,-14.5000,0.6021,0.6021
1.9400,-14.5000,0.6000,0.6000
1.8900,-14.5000,0.5852,0.5852
1.8400,-14.5000,0.5701,0.5701
1.7900,-14.4500,0.6000,0.6000
1.7400,-14.4500,0.6021,0.6021
1.6900,-14.4500,0.6000,0.6000
1.6400,-14.4500,0.6021,0.6021
1.5900,-14.4500,0.6083,0.6083
1.5400,-14.4500,0.6185,0.6185
1.4900,-14.4500,0.6325,0.6325
1.4400,-14.4500,0.6500,0.6500
1.3900,-14.4500,0.6708,0.6708
1.3400,-14.4500,0.6946,0.6946
1.2900,-14.4500,0.7000,0.7000
1.2400,-14.4500,0.7000,0.7000
1.1900,-14.4500,0.6964,0.6964
1.1400,-14.4500,0.6801,0.6801
1.0900,-14.4500,0.6519,0.6519
1.0400,-14.4000,0.6185,0.6185
0.9900,-14.4000,0.6083,0.6083
0.9400,-14.4000,0.6021,0.6021
0.8900,-14.4000,0.6000,0.6000
0.8400,-14.4000,0.6000,0.6000
0.7900,-14.4000,0.6000,0.6000
0.7400,-14.4000,0.6000,0.6000
0.6900,-14.4000,0.6000,0.6000
0.6400,-14.4000,0.6000,0.6000
0.5900,-14.4000,0.6000,0.6000
0.5400,-14.4000,0.6000,0.6000
0.4900,-14.4000,0.6000,0.6000
0.4400,-14.4000,0.6000,0.6000
0.3900,-14.4000,0.6000,0.6000
0.3400,-14.4000,0.6000,0.6000
0.2900,-14.4000,0.6000,0.6000
0.2400,-14.4000,0.6000,0.6000
0.1900,-14.4000,0.6021,0.6021
0.1400,-14.4000,0.6083,0.6083
0.0900,-14.4000,0.6185,0.6185
0.0400,-14.4000,0.6325,0.6325
-0.0100,-14.4000,0.6500,0.6500
-0.0600,-14.4000,0.6500,0.6500
-0.1100,-14.4000,0.6500,0.6500
-0.1600,-14.4000,0.6500,0.6500
-0.2100,-14.4000,0.6500,0.6500
-0.2600,-14.3500,0.6000,0.6000
-0.3100,-14.3500,0.6000,0.6000
-0.3600,-14.3500,0.6000,0.6000
-0.4100,-14.3500,0.6000,0.6000
-0.4600,-14.3500,0.5852,0.5852
-0.5100,-14.3500,0.5701,0.5701
-0.5600,-14.3500,0.5590,0.5590
-0.6100,-14.3500,0.5523,0.5523
-0.6600,-14.3500,0.5500,0.5500
-0.7100,-14.3500,0.5500,0.5500
-0.7600,-14.3500,0.5500,0.5500
-0.8100,-14.3000,0.6000,0.6000
-0.8600,-14.3000,0.6000,0.6000
-0.9100,-14.3000,0.6000,0.6000
-0.9600,-14.3000,0.6000,0.6000
-1.0100,-14.3000,0.6000,0.6000
-1.0600,-14.3000,0.6000,0.6000
-1.1100,-14.3000,0.6000,0.6000
-1.1600,-14.3000,0.6021,0.6021
-1.2100,-14.3000,0.6083,0.6083
-1.2600,-14.3000,0.6185,0.6185
-1.3100,-14.3000,0.6083,0.6083
-1.3600,-14.3000,0.6021,0.6021
-1.4100,-14.3000,0.6000,0.6000
-1.4600,-14.2500,0.6500,0.6500
-1.5100,-14.2500,0.6500,0.6500
-1.5600,-14.2500,0.6325,0.6325
-1.6100,-14.2000,0.6671,0.6671
-1.6600,-14.1500,0.7071,0.7071
-1.7100,-14.1500,0.6964,0.6964
-1.7600,-14.1500,0.6801,0.6801
-1.8100,-14.1000,0.7159,0.7159
-1.8600,-14.0500,0.7566,0.7566
-1.9100,-14.0000,0.8016,0.8016
-1.9600,-13.9500,0.8500,0.8500
-2.0100,-13.9000,0.9000,0.9000
-2.0600,-13.8500,0.9487,0.9487
-2.1100,-13.8000,0.9823,0.9823
-2.1600,-13.7500,1.0198,1.0198
-2.2100,-13.7000,1.0607,1.0607
-2.2600,-13.6500,1.1045,1.1045
-2.3100,-13.6000,1.1511,1.1511
-2.3600,-13.6000,1.1500,1.1500
-2.4100,-13.5500,1.2000,1.2000
-2.4600,-13.5500,1.2000,1.2000
-2.5100,-13.5000,1.2500,1.2500
-2.5600,-13.5000,1.2500,1.2500
-2.6100,-13.4500,1.3000,1.3000
-2.6600,-13.4000,1.3500,1.3500
-2.7100,-13.3500,1.4000,1.4000
-2.7600,-13.3500,1.4000,1.4000
-2.8100,-13.3000,1.4500,1.4500
-2.8600,-13.3000,1.4509,1.4509
-2.9100,-13.2500,1.4807,1.4807
-2.9600,-13.2500,1.4318,1.4318
-2.9600,-13.2000,1.4221,1.4221
-2.9600,-13.1500,1.4142,1.4142
-2.9600,-13.1000,1.4080,1.4080
-2.9600,-13.0500,1.4036,1.4036
-2.9600,-13.0000,1.4009,1.4009
-2.9600,-12.9500,1.4000,1.4000
-2.9600,-12.9000,1.4009,1.4009
-2.9600,-12.8500,1.4036,1.4036
-2.9600,-12.8000,1.4036,1.4036
-2.9600,-12.7500,1.4009,1.4009
-2.9600,-12.7000,1.4000,1.4000
-2.9600,-12.6500,1.4000,1.4000
-3.0100,-12.6000,1.3500,1.3500
-3.0100,-12.5500,1.3500,1.3500
-3.0100,-12.5000,1.3500,1.3500
-3.0600,-12.4500,1.3010,1.3010
-3.1100,-12.4000,1.2540,1.2540
-3.1600,-12.3500,1.2093,1.2093
-3.2100,-12.3000,1.1673,1.1673
-3.2100,-12.2500,1.1769,1.1769
-3.2600,-12.2000,1.1402,1.1402
-3.3100,-12.1500,1.1045,1.1045
-3.3100,-12.1000,1.1102,1.1102
-3.3600,-12.0500,1.0689,1.0689
-3.3600,-12.0000,1.0512,1.0512
-3.3600,-11.9500,1.0308,1.0308
-3.3600,-11.9000,1.0124,1.0124
-3.3600,-11.8500,0.9962,0.9962
-3.4100,-11.8000,0.9341,0.9341
-3.4100,-11.7500,0.9220,0.9220
-3.4100,-11.7000,0.9124,0.9124
-3.4100,-11.6500,0.9014,0.9014
