-3.3957536,-11.5677450,3.6011039
-3.4359343,-11.3724188,3.6783286
-3.4691699,-11.1760126,3.7556935
-3.4959632,-10.9784641,3.8332271
-3.5166466,-10.7803186,3.9118768
-3.5316052,-10.5815127,3.9911539
-3.5411763,-10.3823710,4.0713521
-3.5457132,-10.1831031,4.1525882
-3.5455692,-9.9836954,4.2343409
-3.5410863,-9.7843958,4.3169055
-3.5325950,-9.5851417,4.4001105
-3.5204295,-9.3862344,4.4837318
-3.5048796,-9.1873938,4.5681833
-3.4862583,-8.9888342,4.6532814
-3.4648785,-8.7908845,4.7389088
-3.4409563,-8.5927601,4.8259924
-3.4150648,-8.3952442,4.9140231
-3.3875118,-8.1979373,5.0029764
-3.3584655,-8.0008071,5.0938475
-3.3280242,-7.8038568,5.1856167
-3.2963681,-7.6069411,5.2783798
-3.2638932,-7.4104098,5.3724357
-3.2308801,-7.2137940,5.4666282
-3.1977061,-7.0171479,5.5609044
-3.1647798,-6.8206414,5.5120503
-3.1324195,-6.6238804,5.4266955
-3.1010470,-6.4270000,5.3089695
-3.0710752,-6.2299647,5.1947430
-3.0428816,-6.0325799,5.0825882
-3.0168667,-5.8349591,4.9741401
-2.9933687,-5.6370760,4.8687006
-2.9726102,-5.4387620,4.7651585
-2.9548224,-5.2403710,4.6649999
-2.9402355,-5.0416401,4.5662276
-2.9291312,-4.8423634,4.4686308
-2.9218447,-4.6434045,4.3714968
-2.9185564,-4.4440051,4.2734575
-2.9194611,-4.2446137,4.1738474
-2.9247029,-4.0454369,4.0692261
-2.9343788,-3.8461781,3.9613090
-2.9484675,-3.6474011,3.8437735
-2.9668524,-3.4488390,3.7177905
-2.9891825,-3.2507214,3.5845327
-3.0149213,-3.0529014,3.4346658
-3.0431668,-2.8555044,3.2774472
-3.0727364,-2.6583221,3.1062733
-3.1020851,-2.4607578,2.9244265
-3.1291483,-2.2637713,2.7361675
-3.1518362,-2.0653772,2.5338498
-3.1669038,-1.8665241,2.3294504
-3.1694257,-1.6678636,2.1232345
-3.1526185,-1.4680477,2.0018189
-3.1100858,-1.2723109,1.9182391
-3.0391713,-1.0877218,1.8740305
-2.9382051,-0.9144711,1.8496731
-2.8164335,-0.7582357,1.8046547
-2.6802243,-0.6193962,1.7969026
-2.5252468,-0.4959069,1.8190160
-2.3508321,-0.3940803,1.8517458
-2.1650092,-0.3211874,1.8879794
-1.9717155,-0.2739189,1.9600603
-1.7731999,-0.2460127,2.0594226
-1.5743903,-0.2310253,2.2128377
-1.3750089,-0.2227018,2.3910465
