0.012431,-0.039851
0.113439,-0.039113
0.214175,-0.038585
0.314763,-0.038537
0.415277,-0.039146
0.515758,-0.040509
0.616226,-0.042656
0.716693,-0.045562
0.817163,-0.049152
0.917643,-0.053309
1.018144,-0.057882
1.118684,-0.062686
1.219287,-0.067511
1.319986,-0.072118
1.420821,-0.076240
1.521837,-0.079575
1.623081,-0.081784
1.724597,-0.082488
1.826417,-0.081233
1.928552,-0.077476
2.030976,-0.070587
2.133596,-0.059855
2.236278,-0.044496
2.338592,-0.023676
2.439598,0.003220
2.538234,0.036443
2.633446,0.075980
2.724234,0.121556
2.809724,0.172690
2.889253,0.228780
2.962445,0.289229
3.029275,0.353610
3.090011,0.421851
3.145349,0.494467
3.195957,0.572187
3.241402,0.655339
3.280543,0.743807
3.312213,0.837017
3.335384,0.933990
3.349405,1.033458
3.353999,1.134021
3.349199,1.234265
3.335271,1.332862
3.312638,1.428600
3.281869,1.520770
3.243556,1.609226
3.198055,1.693601
3.145734,1.773372
3.087077,1.848005
3.022685,1.916999
2.953252,1.979946
2.879520,2.036564
2.802216,2.086702
2.721979,2.130341
2.639307,2.167557
2.553951,2.198919
2.465123,2.225341
2.372544,2.246890
2.276387,2.263478
2.177118,2.275105
2.075321,2.282105
1.971536,2.285339
1.866171,2.286228
1.759505,2.286655
1.651772,2.288760
1.543263,2.294630
1.434646,2.305913
1.327287,2.323702
1.222785,2.348738
1.122829,2.381149
1.029112,2.420472
0.943181,2.465652
0.866229,2.515182
0.798870,2.567382
0.740841,2.620843
0.691017,2.674902
0.646813,2.730774
0.604099,2.792546
0.560378,2.863313
0.516804,2.943700
0.475117,3.032828
0.436956,3.128816
0.403104,3.229435
0.373176,3.332521
0.345724,3.436164
0.318730,3.538740
0.290138,3.638825
0.258409,3.735603
0.222810,3.829427
0.182846,3.920594
0.137941,4.008784
0.087794,4.093627
0.032239,4.174603
-0.028747,4.251117
-0.095030,4.322544
-0.166330,4.388270
-0.242250,4.447701
-0.322284,4.500301
-0.405818,4.545637
-0.492162,4.583408
-0.580597,4.613436
-0.670412,4.635675
-0.760947,4.650189
-0.851635,4.657113
-0.942029,4.656600
-1.031813,4.648775
-1.120789,4.633690
-1.208867,4.611295
-1.296004,4.581403
-1.382309,4.543730
-1.467424,4.498178
-1.550309,4.444733
-1.629825,4.383667
-1.704895,4.315536
-1.774574,4.241133
-1.838099,4.161428
-1.894925,4.077503
-1.944747,3.990483
-1.987528,3.901458
-2.023495,3.811352
-2.053524,3.720257
-2.078933,3.627460
-2.100287,3.532523
-2.117982,3.435338
-2.132352,3.336084
-2.143747,3.235164
-2.152565,3.133120
-2.159253,3.030566
-2.164265,2.928123
-2.168097,2.826387
-2.171221,2.725784
-2.173815,2.626098
-2.175976,2.526807
-2.178073,2.427667
-2.180319,2.328459
-2.182815,2.229013
-2.185517,2.129178
-2.188211,2.028812
-2.190522,1.927775
-2.191933,1.825930
-2.191818,1.723163
-2.189451,1.619346
-2.183957,1.514615
-2.174474,1.409608
-2.160308,1.305128
-2.140918,1.202043
-2.116035,1.101273
-2.085670,1.003736
-2.050085,0.910265
-2.009703,0.821514
-1.965005,0.737849
-1.916376,0.659306
-1.863896,0.585197
-1.807342,0.514383
-1.746360,0.446462
-1.680634,0.381617
-1.610004,0.320239
-1.534507,0.262874
-1.454401,0.210064
-1.370125,0.162263
-1.282232,0.119807
-1.191323,0.082908
-1.098023,0.051669
-1.002753,0.025903
-0.905558,0.004995
-0.806526,-0.011448
-0.705904,-0.023763
-0.604035,-0.032388
-0.501300,-0.037856
-0.398093,-0.040777
-0.294789,-0.041808
-0.191735,-0.041604
-0.089243,-0.040772
