0,0.018646,-0.059776,0.007305,0.000000,2.000000,-0.008691,0.000000
1,0.021146,-0.059758,0.007182,0.100000,2.000000,-0.008649,0.000000
2,0.028646,-0.059705,0.006820,0.200000,2.000000,-0.008526,0.000000
3,0.041145,-0.059624,0.006213,0.300000,2.000000,-0.008310,0.000000
4,0.058645,-0.059523,0.005366,0.400000,2.000000,-0.008473,0.050000
5,0.081145,-0.059414,0.004274,0.500000,2.000000,-0.008086,0.050000
6,0.108645,-0.059473,0.002868,0.600000,1.800000,-0.007853,0.100000
7,0.140894,-0.059640,0.001416,0.690000,1.620000,-0.007126,0.100000
8,0.177418,-0.059895,6.282850,0.771000,1.458000,-0.006620,0.150000
9,0.217789,-0.060235,6.281006,0.843900,1.312200,-0.006265,0.200000
10,0.261622,-0.060691,6.278905,0.909510,1.180980,-0.005707,0.250000
11,0.308571,-0.061262,6.276745,0.968559,1.062882,-0.005059,0.300000
12,0.358322,-0.061980,6.274358,1.021703,0.956594,-0.004367,0.350000
13,0.410596,-0.062842,6.271939,1.069533,0.860934,-0.003612,0.400000
14,0.465139,-0.063877,6.269317,1.112580,0.774841,-0.002608,0.450000
15,0.521723,-0.065083,6.266687,1.151322,0.697357,-0.001633,0.500000
16,0.580144,-0.066486,6.263872,1.186189,0.627621,-0.000417,0.550000
17,0.640217,-0.068082,6.261067,1.217570,0.564859,0.000936,0.600000
18,0.701782,-0.069611,6.260719,1.245813,0.508373,-0.000758,0.700000
19,0.764690,-0.071145,6.259691,1.271232,0.457536,-0.000953,0.750000
20,0.828795,-0.073039,6.256791,1.294109,0.411782,0.000475,0.800000
21,0.893992,-0.074765,6.257445,1.314698,0.370604,-0.001687,0.900000
22,0.960170,-0.076403,6.257652,1.333228,0.333544,-0.002772,0.950000
23,1.027217,-0.078453,6.254904,1.349905,0.300189,-0.001401,1.000000
24,1.095047,-0.080804,6.251658,1.364915,0.270170,0.000143,1.100000
25,1.163595,-0.082979,6.252235,1.378423,0.243153,-0.000639,1.150000
26,1.232789,-0.085054,6.252484,1.390581,0.218838,-0.001327,1.200000
27,1.302547,-0.087541,6.249651,1.401523,0.196954,0.000809,1.300000
28,1.372825,-0.090042,6.249101,1.411371,0.177259,0.001392,1.350000
29,1.443584,-0.092128,6.251927,1.420234,0.159533,-0.000150,1.450000
30,1.514765,-0.094218,6.252497,1.428210,0.143580,-0.000302,1.500000
31,1.586310,-0.096745,6.249648,1.435389,0.129222,0.002890,1.550000
32,1.658196,-0.099294,6.249057,1.441850,0.116299,0.005377,1.650000
33,1.730402,-0.101427,6.251924,1.447665,0.104670,0.004870,1.700000
34,1.802893,-0.103260,6.255394,1.452899,0.094203,0.005174,1.800000
35,1.875638,-0.104838,6.258847,1.457609,0.084782,0.004744,1.850000
36,1.948613,-0.106152,6.262417,1.461848,0.076304,0.006321,1.950000
37,2.021793,-0.107220,6.265904,1.465663,0.068674,0.006688,2.000000
38,2.095157,-0.108023,6.269495,1.469097,0.061806,0.009932,2.100000
39,2.168687,-0.108577,6.273001,1.472187,0.055626,0.011438,2.150000
40,2.242366,-0.108862,6.276610,1.474968,0.050063,0.013875,2.200000
41,2.316177,-0.108894,6.280131,1.477472,0.045057,0.019713,2.300000
42,2.390106,-0.108656,0.000569,1.479724,0.040551,0.024188,2.350000
43,2.464141,-0.108161,0.004102,1.481752,0.036496,0.032287,2.450000
44,2.538264,-0.106951,0.011731,1.483577,0.032846,0.036002,2.500000
45,2.612452,-0.104791,0.022123,1.485219,0.029562,0.040811,2.600000
46,2.686689,-0.101802,0.032802,1.486697,0.026606,0.044120,2.650000
47,2.760959,-0.097991,0.043639,1.488027,0.023945,0.051046,2.750000
48,2.835247,-0.093380,0.054399,1.489225,0.021551,0.056527,2.800000
49,2.909537,-0.087954,0.065264,1.490302,0.019395,0.066245,2.900000
50,2.983789,-0.081431,0.078946,1.491272,0.017456,0.071811,2.950000
51,3.057939,-0.073396,0.096307,1.492145,0.015710,0.078943,3.050000
52,3.131967,-0.063967,0.114332,1.492930,0.014139,0.082949,3.100000
53,3.205849,-0.053194,0.132349,1.493637,0.012725,0.091911,3.200000
54,3.279555,-0.041070,0.150482,1.494274,0.011453,0.098050,3.250000
55,3.353005,-0.027323,0.171437,1.494846,0.010308,0.106939,3.350000
56,3.426075,-0.011550,0.196081,1.495362,0.009277,0.110053,3.400000
57,3.498734,0.006125,0.221391,1.495825,0.008349,0.117170,3.500000
58,3.570942,0.025646,0.246693,1.496243,0.007514,0.121745,3.550000
59,3.642647,0.047007,0.272108,1.496619,0.006763,0.130321,3.650000
60,3.713711,0.070464,0.300347,1.496957,0.006087,0.138882,3.750000
61,3.783930,0.096389,0.332279,1.497261,0.005478,0.139829,3.800000
62,3.853260,0.124643,0.364877,1.497535,0.004930,0.146084,3.900000
63,3.921641,0.155154,0.397465,1.497781,0.004437,0.148286,3.950000
64,3.988996,0.187897,0.430166,1.498003,0.003993,0.155014,4.050000
65,4.055258,0.222820,0.462778,1.498203,0.003594,0.159008,4.100000
66,4.120349,0.259899,0.495491,1.498383,0.003235,0.165958,4.200000
67,4.184047,0.299335,0.531024,1.498544,0.002911,0.169457,4.250000
68,4.246033,0.341425,0.570252,1.498690,0.002620,0.171594,4.350000
69,4.306265,0.386001,0.610144,1.498821,0.002358,0.172708,4.400000
70,4.364672,0.432953,0.650025,1.498939,0.002122,0.175025,4.500000
71,4.421154,0.482212,0.690016,1.499045,0.001910,0.176747,4.550000
72,4.475632,0.533686,0.729916,1.499140,0.001719,0.179950,4.650000
73,4.528008,0.587304,0.769915,1.499226,0.001547,0.185329,4.750000
74,4.578209,0.642969,0.809821,1.499304,0.001392,0.186796,4.800000
75,4.626144,0.700602,0.849824,1.499373,0.001253,0.193117,4.900000
76,4.671507,0.760280,0.892646,1.499436,0.001128,0.193374,4.950000
77,4.713867,0.822131,0.939164,1.499492,0.001015,0.195428,5.050000
78,4.753219,0.885941,0.986345,1.499543,0.000914,0.192519,5.100000
79,4.789513,0.951542,1.033513,1.499589,0.000822,0.194353,5.200000
80,4.822659,1.018791,1.080788,1.499630,0.000740,0.191317,5.250000
81,4.853007,1.087353,1.123950,1.499667,0.000666,0.196442,5.350000
82,4.880446,1.157127,1.167227,1.499700,0.000599,0.197035,5.400000
83,4.904434,1.228165,1.213817,1.499730,0.000539,0.199873,5.500000
84,4.925003,1.300269,1.261015,1.499757,0.000485,0.201465,5.600000
85,4.942144,1.373265,1.308191,1.499782,0.000437,0.200112,5.650000
86,4.955810,1.446992,1.355474,1.499803,0.000393,0.201665,5.750000
87,4.965985,1.521282,1.402663,1.499823,0.000354,0.200091,5.800000
